filename	caseID	cite	description	date	type	position
Case_6000_037	6000	1977 WL 187999 	 Brief of Amicus Curiae Asian American Bar Association of the Greater Bay Area in Support of Petitioners 	Jun. 04, 1977	Amicus Curiae	Petitioner
Case_6000_038	6000	1977 WL 189506 	 Brief of National Association of Affirmative Action Officers, Amici Curiae 	Jun. 06, 1977	Amicus Curiae	undeclared
Case_6000_039	6000	1977 WL 189533 	 Brief of Amicus Curiae the National Conference of Black Lawyers 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_040	6000	1977 WL 189532 	 Brief of Native American Law Students of the University of California at Davis, the Native American Student Union of the University of California at Davis, the American Indian Bar Association, the American Indian Law Students Association and the Amer ican Indian Law Center as Amici Curiae in Support of Petitioners. 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_041	6000	1977 WL 189530 	 Brief of the Legal Services Corporation, Amicus Curiae on Behalf of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_042	6000	1977 WL 189529 	 Brief of the UCLA Black Law Students Association, the Ucla Black Law Alumni Association, and the Union Women's Alliance to Gain Equality as Amici Curiae on Behalf of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_043	6000	1977 WL 189528 	 Brief of the Antioch School of Law Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_044	6000	1977 WL 189527 	 Brief of Amici Curiae in Support of Petitioner For Jerome A. Lackner, M.D., J.D., Director of the Department of Health of the State of California, and Marion J. Woods, Director of the Department of Benefit Payments of the State of California 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_045	6000	1977 WL 189526 	 Brief of the Association of American Medical Colleges Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_046	6000	1977 WL 189524 	 Brief of the Council on Legal Education Opportunity as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_047	6000	1977 WL 189523 	 Brief of the Polish American Congress, the National Advocates Society and the National Medical and Dental Association As Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_048	6000	1977 WL 189522 	 Brief Amici Curiae For: National Council of Churches of Christ in the United States of America American Coalition of Citizens with Disabilities Americans for Democratic Action American Federation of State, County and Municipal Employees, AFL-CIO Amer ican Public Health Association Children's Defense Fund International Union of Electrical, Radio and Machine Workers, AFL-CIO, CLC IUE International Union, United Automobile, Aerospace, Agricultural Implement Workers of America UAW Japanese Ameri	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_049	6000	1977 WL 189521 	 Brief of the American Civil Liberties Union, the ACLU of Northern California, the ACLU of Southern California, Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_050	6000	1977 WL 189519 	 Brief Amicus Curiae of The Law School Admission Council in Support of Petitioner The Regents of the University of California 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_051	6000	1977 WL 189518 	 Brief of Howard University as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_052	6000	1977 WL 189517 	 Brief of the National Association for the Advancement of Colored People as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_053	6000	1977 WL 189516 	 Brief for the Lawyers' Committee for Civil Rights under Law as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_054	6000	1977 WL 189515 	 Brief of The National Medical Association, Inc. The National Bar Association, Inc. and The National Association for Equal Opportunity in Higher Education Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_055	6000	1977 WL 189514 	 Brief of the Board of Governors of Rutgers, the State University of New Jersey, the Rutgers Law School Alumni Association and the Student Bar Association of the Rutgers School of Law--Newark Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_056	6000	1977 WL 189513 	 Brief of Amici Curiae The Puerto Rican Legal Defense and Education Fund and Aspira of America 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_057	6000	1977 WL 189512 	 Brief Amicus Curiae for the Association of American Law Schools in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_058	6000	1977 WL 189510 	 Brief of the Black Law Students Union of Yale University Law School, Amicus Curiae, In Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_059	6000	1977 WL 189509 	 Brief of the National Fund for Minority Engineering Students, Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_060	6000	1977 WL 189507 	 Brief Amici Curiae for the Bar Association of San Francisco and the Los Angeles County Bar Association in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_061	6000	1977 WL 189504 	 Brief of The State of Washington and The University of Washington As Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_062	6000	1977 WL 189474 	 Brief for Petitioner 	Jun. 07, 1977	Litigant	Petitioner
Case_6000_063	6000	1977 WL 188018 	 Brief on Behalf of the American Medical Student Association as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_064	6000	1977 WL 188017 	 Brief Amicus Curiae of the Law School Admission Council in Support of Petitioner the Regents of the University of California 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_065	6000	1977 WL 188011 	 Brief of the Legal Services Corporation, Amicus Curiae on Behalf of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_066	6000	1977 WL 188010 	 Brief of the American Association of University Professors, Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_067	6000	1977 WL 188008 	 Brief Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_068	6000	1977 WL 188007 	 Brief of Columbia University, Harvard University, Stanford University and the University of Pennsylvania as Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_069	6000	1977 WL 188000 	 Brief Amici Curiae for the Bar Association of San Francisco and the Los Angeles County Bar Association in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_070	6000	1977 WL 187995 	 Brief of the National Fund for Minority Engineering Students, Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_071	6000	1977 WL 187994 	 Brief of Native American Law Students of the University of California at Davis, the Native American Student Union of the University of California at Davis, the American Indian Bar Association, the American Indian Law Students Association and the Amer ican Indian Law Center as Amici Curiae in Support of Petitioners 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_072	6000	1977 WL 187992 	 Brief of the Association of American Medical Colleges Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_073	6000	1977 WL 187990 	 Brief of the Black Law Students Union of Yale University Law School, Amicus Curiae, in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_074	6000	1977 WL 187986 	 Brief of the Board of Governors of Rutgers, the State University of New Jersey, the Rutgers Law School Alumni Association and the Student Bar Association of the Rutgers School of Law Newark Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_075	6000	1977 WL 187984 	 Brief of Amici Curiae the Puerto Rican Legal Defense and Education Fund and Aspira of America 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_076	6000	1977 WL 187981 	 Brief Amicus Curiae for the National Association of Minority Contractors and Minority Contractors Association of Northern California, Inc. in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_077	6000	1977 WL 187979 	 Brief of the Ucla Black Law Students Association, the Ucla Black Law Alumni Association, and the Union Women%7Ds Alliance to Gain Equality as Amici Curiae on Behalf of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_078	6000	1977 WL 187978 	 Brief of the Council on Legal Education Opportunity as Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_079	6000	1977 WL 187977 	 Brief for Petitioner 	Jun. 07, 1977	Litigant	Petitioner
Case_6000_080	6000	1977 WL 187975 	 Brief of the Polish American Congress, the National Advocates Society and the National Medical and Dental Association as Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_081	6000	1977 WL 187972 	 Brief of the American Civil Liberties Union, the ACLU of Northern California, the ACLU of Southern California, Amici Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_082	6000	1977 WL 187971 	 Brief of Amici Curiae Mexican American Legal Defense and Educational Fund, La Raza National Lawyers Assn., County of Santa Clara, Calif., League of United Latin American Citizens, G.I. Forum, National Council of La Raza, Los Angeles Mecha Central, Im age, National Association for Equal Educational Opportunity, Association of Mexican American Educators, John Vasconcellos, Unitas 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_083	6000	1977 WL 187968 	 Brief Amicus Curiae for the Association of American Law Schools in Support of Petitioner 	Jun. 07, 1977	Amicus Curiae	Petitioner
Case_6000_084	6000	1977 WL 187967 	 Brief of the Antioch School of Law Amicus Curiae 	Jun. 07, 1977	Amicus Curiae	undeclared
Case_6000_085	6000	1977 WL 189534 	 Brief of the American Bar Association, Amicus Curiae 	Jun. 10, 1977	Amicus Curiae	undeclared
Case_6000_086	6000	1977 WL 188006 	 Brief of the American Bar Association, Amicus Curiae 	Jun. 10, 1977	Amicus Curiae	undeclared
Case_6000_087	6000	1977 WL 189535 	 Brief of the Queens Jewish Community Council and the Jewish Rights Council as Amici Curiae in Opposition to Petitioner. 	Jun. 21, 1977	Amicus Curiae	Petitioner
Case_6000_088	6000	1977 WL 188014 	 Brief of the Queens Jewish Community Council and The Jewish Rights Council as Amici Curiae in Opposition to Petitioner 	Jun. 21, 1977	Amicus Curiae	Petitioner
Case_6000_089	6000	1977 WL 189500 	 Brief of the Fair Employment Practice Commission of the State of California, Amicus Curiae 	Jul. 04, 1977	Amicus Curiae	undeclared
Case_6000_090	6000	1977 WL 189536 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Jul. 07, 1977	Amicus Curiae	undeclared
Case_6000_091	6000	1977 WL 189538 	 Brief of an Amicus Curiae For: Timothy J. Hoy. 	Jul. 29, 1977	Amicus Curiae	undeclared
Case_6000_092	6000	1977 WL 189537 	 Brief of the American Federation of Teachers. Amicus Curiae. 	Jul. 29, 1977	Amicus Curiae	undeclared
Case_6000_093	6000	1977 WL 188016 	 Brief of the American Federation of Teachers. Amicus Curiae 	Jul. 29, 1977	Amicus Curiae	undeclared
Case_6000_094	6000	1977 WL 187988 	 Brief of an Amicus Curiae 	Jul. 29, 1977	Amicus Curiae	undeclared
Case_6000_095	6000	1977 WL 188012 	 Brief Amicus Curiae for the Order Sons of Italy in America in Support of Respondent 	Aug. 1977	Amicus Curiae	Respondent
Case_6000_096	6000	1977 WL 189541 	Brief Amici Curiae of Anti-Defamation League of B'Nai B'rith; Council of Supervisors and Administrators of the City of New York, Local 1, AFSA, AFL-CIO; Jewish Labor Committee; National Jewish Commission on Law and Public Affairs ; and Uni co National	Aug. 04, 1977	Amicus Curiae	undeclared
Case_6000_097	6000	1977 WL 189539 	 Brief Amicus Curiae for the Order Sons of Italy in America in Support of Respondent. 	Aug. 04, 1977	Amicus Curiae	Respondent
Case_6000_098	6000	1977 WL 188002 	 Brief Amici Curiae of Anti-Defamation League of B'nai B'rith; Council of Supervisors and Administrators of the City of New York, Local 1, AFSA, AFL-CIO; Jewish Labor Committee; National Jewish Commission on Law and Public Affairs 'COLPA' ; and Unico National	Aug. 04, 1977	Amicus Curiae	undeclared
Case_6000_099	6000	1977 WL 187991 	 Brief of Amicus Curiae Young Americans for Freedom 	Aug. 04, 1977	Amicus Curiae	undeclared
Case_6000_100	6000	1977 WL 189549 	 Brief Amici Curiae for the Fraternal Order of Police, the Conference of Pennsylvania State Police Lodges of the Fraternal Order of Police, the International Conference of Police Associations and the International Association of Chiefs of Police 	Aug. 05, 1977	Amicus Curiae	undeclared
Case_6000_101	6000	1977 WL 189547 	 Brief of American Jewish Committee, American Jewish Congress, Hellenic Bar Association of Illinois, Italian-American Foundation, Polish American Affairs Council, Polish American Educators Association, Ukrainian Congress Committee of America--Chicago Division--and Unico National, Amici Curiae	Aug. 05, 1977	Amicus Curiae	undeclared
Case_6000_102	6000	1977 WL 189542 	 Brief Amicus Curiae for Pacific Legal Foundation in Support of Respondent 	Aug. 05, 1977	Amicus Curiae	Respondent
Case_6000_103	6000	1977 WL 189476 	 Brief for Respondent 	Aug. 05, 1977	Litigant	Respondent
Case_6000_104	6000	1977 WL 188015 	 Brief of American Jewish Committee, American Jewish Congress, Hellenic Bar Association of Illinois, Italian-American Foundation, Polish American Affairs Council, Polish American Educators Association, Ukrainian Congress Committee of America--Chicago Division-- and Unico National, Amici Curiae	Aug. 05, 1977	Amicus Curiae	undeclared
Case_6000_105	6000	1977 WL 187996 	 Brief for Amicus Curiae Henry A. Waxman in Support of Respondent 	Aug. 05, 1977	Amicus Curiae	Respondent
Case_6000_106	6000	1977 WL 187993 	 Brief for Respondent 	Aug. 05, 1977	Litigant	Respondent
Case_6000_107	6000	1977 WL 187987 	 Brief Amicus Curiae for Pacific Legal Foundation in Support of Respondent 	Aug. 05, 1977	Amicus Curiae	Respondent
Case_6000_108	6000	1977 WL 187969 	 Brief Amici Curiae for the Fraternal Order of Police, the Conference of Pennsylvania State Police Lodges of the Fraternal Order of Police, the International Conference of Police Associations and the International Association of Chiefs of Police 	Aug. 05, 1977	Amicus Curiae	undeclared
Case_6000_109	6000	1977 WL 189550 	 Brief of the Chamber of Commerce of the United States of America Amicus Curiae. 	Aug. 06, 1977	Amicus Curiae	undeclared
Case_6000_110	6000	1977 WL 187976 	 Brief of the Chamber of Commerce of the United States of America Amicus Curiae 	Aug. 06, 1977	Amicus Curiae	undeclared
Case_6000_111	6000	1977 WL 189551 	 Brief of Amici Curiae For the Committee on Academic Nondiscrimination and Integrity and the Mid-America Legal Foundation 	Aug. 10, 1977	Amicus Curiae	undeclared
Case_6000_112	6000	1977 WL 187983 	 Brief of Amici Curiae 	Aug. 10, 1977	Amicus Curiae	undeclared
Case_6000_113	6000	1977 WL 189477 	 Brief for the United States as Amicus Curiae 	Sep. 19, 1977	Amicus Curiae	undeclared
Case_6000_114	6000	1977 WL 187970 	 Brief for the United States as Amicus Curiae 	Sep. 19, 1977	Amicus Curiae	undeclared
Case_6000_115	6000	1977 WL 189544 	 Brief for Amicus Curiae Henry A. Waxman in Support of Respondent 	Oct. Term 1977	Amicus Curiae	Respondent
Case_6000_116	6000	1977 WL 188004 	 Brief of National Association of Affirmative Action Officers, Amici Curiae 	Oct. Term 1977	Amicus Curiae	undeclared
Case_6000_117	6000	1977 WL 187982 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Oct. Term 1977	Amicus Curiae	undeclared
Case_6000_118	6000	1977 WL 189552 	 Reply Brief for Petitioner 	Oct. 03, 1977	Litigant	Petitioner
Case_6000_119	6000	1977 WL 187980 	 Reply Brief for Petitioner 	Oct. 03, 1977	Litigant	Petitioner
Case_6000_120	6000	1977 WL 189553 	 Respondent's Reply to Brief of United States as Amicus Curiae 	Oct. 05, 1977	Amicus Curiae	Respondent
Case_6000_121	6000	1977 WL 187998 	 Respondent's Reply to Brief of United States as Amicus Curiae 	Oct. 05, 1977	Amicus Curiae	Respondent
Case_6000_122	6000	1977 WL 189556 	 Motion for Leave to File a Supplemental Brief for the United States as Amicus Curiae and Supplemental Brief for the United States as Amicus Curiae 	Nov. 16, 1977	Amicus Curiae	undeclared
Case_6000_123	6000	1977 WL 189554 	 Supplemental Brief for Petitioner 	Nov. 16, 1977	Litigant	Petitioner
Case_6000_124	6000	1977 WL 187997 	 Supplemental Brief for Petitioner 	Nov. 16, 1977	Litigant	Petitioner
Case_6000_125	6000	1977 WL 189555 	 Supplemental Brief of Respondent Regarding Application of Title VI of the Civil Rights Act of 1964 	Nov. 17, 1977	Supplemental	Respondent
Case_6000_126	6000	1977 WL 188001 	 Supplemental Brief of Respondent Regarding Application of Title VI of the Civil Rights Act of 1964 	Nov. 17, 1977	Supplemental	Respondent
Case_6001_001	6001	1978 WL 207284 	 Brief Amici Curiae of the Affirmative Action Coordinating Center, the National Conference of Black Lawyers, the National Lawyers Guild, the Center for Constitutional Rights, the Center for Urban Law, the Asian American Legal Defense and Education Fun d, the Asian Law Caucus, the Black American Law Students Association, Inc., the Indian Law Resource Center, the La Raza Legal Alliance, the Law Students Civil Rights Research Council, the Mexican American Legal Defense and Educational Fund, the Nati 	Nov. 10, 1978	Amicus Curiae	undeclared
Case_6001_002	6001	1979 WL 199737 	 Brief Amicus Curiae of the Equal Employment Advisory Council 	Jan. 18, 1979	Amicus Curiae	undeclared
Case_6001_003	6001	1979 WL 199789 	 Brief of the City of Los Angeles as Amicus Curiae 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_004	6001	1979 WL 199753 	 Brief of the Asian American Legal Defense and Education Fund, the Asian Law Caucus, Inc., and Asian Americans for Equality as Amici Curiae 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_005	6001	1979 WL 199752 	 Brief Amici Curiae of the Affirmative Action Coordinating Center the Congressional Black Caucus the National Conference of Black Lawyers the National Lawyers Guild the Center for Constitutional Rights and the Center for Urban Law Affirmative Action C oalition of Chicago Affirmative Action Coalition of San Diego American Association for Affirmative Action Black American Law Students Association Black Economic Survival Center for United Labor Action Charles Houston Bar Association Christian Church 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_006	6001	1979 WL 199749 	 Amicus Curiae Brief for and on Behalf of Petitioners by Women's Equal Rights Legal Defense and Education Fund WERLDEF	Jan. 25, 1979	Amicus Curiae	Petitioner
Case_6001_007	6001	1979 WL 199748 	 Brief for the Lawyers' Committee for Civil Rights Under Law as Amicus Curiae 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_008	6001	1979 WL 199746 	 Brief of the National Medical Association, Inc. the National Bar Association, Inc. and the National Association for Equal Opportunity in Higher Education Amici Curiae 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_009	6001	1979 WL 199744 	 Brief Amicus Curiae of the National Coordinating Committee for Trade Union Action and Democracy 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_010	6001	1979 WL 199742 	 Brief of Amici Curiae The National Puerto Rican Coalition and The Puerto Rican Forum 	Jan. 25, 1979	Amicus Curiae	undeclared
Case_6001_011	6001	1979 WL 199740 	 Brief Amicus Curiae for the California Fair Employment Practice Commission and the California Division of Fair Employment Practices in Support of Petitioners 	Jan. 25, 1979	Amicus Curiae	Petitioner
Case_6001_012	6001	1979 WL 199767 	Brief Amicus Curiae of the United Electrical, Radio and Machine Workers of America UE	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_013	6001	1979 WL 199765 	 Brief Amicus Curiae of the National Union of Hospital and Health Care Employees, RWDSU, AFL-CIO 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_014	6001	1979 WL 199764 	 Brief of the American Civil Liberties Union, and the Society of American Law Teachers Board of Governors Amici Curiae 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_015	6001	1979 WL 199763 	 Brief of the National Association for the Advancement of Colored People as Amicus Curiae 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_016	6001	1979 WL 199761 	 Brief Amici Curiae For: American Federation of State, County and Municipal Employees, AFL-CIO, International Union of Electrical, Radio and Machine Workers, AFL-CIO, CLC, International Union of Oil, Chemical and Atomic Workers, AFL-CIO, International Union, United Automobile, Aerospace and Agricultural Implement Workers UAW , International Woodworkers of America, AFL-CIO, CLC, National Education Association, United Farm Workers of America, AFL-CIO, United Mine Workers of America, Coalition of B	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_017	6001	1979 WL 199758 	 Brief of Amici Curiae American G.I. Forum. Incorporated Mexican American Government Employees, League of United Latin American Citizens, S.E.R. Jobs for Progress, Inc 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_018	6001	1979 WL 199756 	 Brief Amici Curiae of the Hon. Patricia Schroeder, Member of Congress, and The ACLU Women's Rights Project, Chicana Service Action Center, Creative Employment Project, Equal Rights Advocates, Inc., Federally Employed Women, Federally Employed Women's Legal and Education Fund, League of Women Voters of the United States, National Association of Black Women Attorneys, Inc., National Conference of Puerto Rican Women, Inc., National Federation of Business and Professional Women's Clubs, Inc., Nation 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_019	6001	1979 WL 199754 	 Brief of the N.A.A.C.P. Legal Defense and Educational Fund, Inc., National Urban League and Howard University as Amici Curiae 	Jan. 26, 1979	Amicus Curiae	undeclared
Case_6001_020	6001	1979 WL 199723 	 Brief for Petitioner 	Jan. 26, 1979	Litigant	Petitioner
Case_6001_021	6001	1979 WL 199720 	 Brief for Petitioner United Steelworkers of America, AFL-CIO-CLC 	Jan. 26, 1979	Litigant	Petitioner
Case_6001_022	6001	1979 WL 199770 	 Amicus Brief of the Women's Caucus, District 31 of the United Steelworkers of America 	Jan. 30, 1979	Amicus Curiae	undeclared
Case_6001_023	6001	1979 WL 199725 	 Brief for the United States and the Equal Employment Opportunity Commission 	Jan. 30, 1979	Amicus Curiae	undeclared
Case_6001_024	6001	1979 WL 199776 	 Motion of the Washington Legal Foundation for Leave to File a Brief Amicus Curiae and Brief of Amicus Curiae, the Washington Legal Foundation 	Feb. 23, 1979	Amicus Curiae	undeclared
